AT2 proliferating,"CDK1, LSM3, CKS1B, EIF1AX, UBE2C, MRPL14, PRC1, CENPW, EMP2, DHFR"
Goblet (subsegmental),"MDK, MUC5B, SCGB1A1, CP, C3, TSPAN8, TFF3, MSMB, PIGR, BPIFB1"
Pericytes,"MYL9, SPARC, SPARCL1, IGFBP7, COL4A1, GPX3, PDGFRB, CALD1, COX4I2, TPM2"
SMG duct,"PIP, ZG16B, PIGR, SAA1, MARCKSL1, ALDH1A3, SELM, LTF, RARRES1, AZGP1"
Mesothelium,"CEBPD, LINC01133, MRPL33, UPK3B, CFB, SEPP1, EID1, HP, CUX1, MRPS21"
SMG serous (nasal),"ZG16B, MUC7, C6orf58, PRB3, LTF, LYZ, PRR4, AZGP1, PIGR, RP11-1143G9.4"
Ionocyte,"FOXI1, ATP6V1A, GOLM1, TMEM61, SEC11C, SCNN1B, ASCL3, CLCNKB, HEPACAM2, CD24"
Alveolar Mφ MT-positive,"GSTO1, LGALS1, CTSZ, MT2A, APOC1, CTSL, UPP1, CCL18, FABP4, MT1X"
Fibromyocytes,"NEXN, ACTG2, LMOD1, IGFBP7, PPP1R14A, DES, FLNA, TPM2, PLN, SELM"
Deuterosomal,"RSPH9, PIFO, RUVBL2, C11orf88, FAM183A, MORN2, SAXO2, CFAP126, FAM229B, C5orf49"
Tuft,"MUC20, KHDRBS1, ZNF428, BIK, CRYM, LRMP, HES6, KIT, AZGP1, RASSF6"
Plasmacytoid DCs,"IL3RA, TCF4, LTB, GZMB, JCHAIN, ITM2C, IRF8, PLD4, IRF7, C12orf75"
T cells proliferating,"TRAC, HMGN2, IL32, CORO1A, ARHGDIB, STMN1, RAC2, IL2RG, HMGB2, CD3D"
Subpleural fibroblasts,"SERPING1, C1R, COL1A2, NNMT, COL3A1, MT1E, MT1X, PLA2G2A, SELM, MT1M"
Lymphatic EC proliferating,"S100A16, TUBB, HMGN2, COX20, LSM2, HMGN1, ARPC1A, ECSCR, EID1, MARCKS"
Migratory DCs,"IL2RG, HLA-DRB5, TMEM176A, BIRC3, TYMP, CCL22, SYNGR2, CD83, LSP1, HLA-DQA1"
